datetime,nat_demand
22-01-2020 21:00,1344.0522
22-01-2020 22:00,1286.6514
22-01-2020 23:00,1200.3971
23-01-2020 00:00,1173.2992
23-01-2020 01:00,1184.2989
23-01-2020 02:00,1147.8177
23-01-2020 03:00,1108.1406
23-01-2020 04:00,1116.5119
23-01-2020 05:00,1170.3459
23-01-2020 06:00,1190.9625
23-01-2020 07:00,1264.6907
23-01-2020 08:00,1434.0528
23-01-2020 09:00,1516.7295
23-01-2020 10:00,1580.2888
23-01-2020 11:00,1599.4601
23-01-2020 12:00,1570.8429
23-01-2020 13:00,1579.6118
23-01-2020 14:00,1583.0315
23-01-2020 15:00,1455.5652
23-01-2020 16:00,1351.0059
23-01-2020 17:00,1354.8483
23-01-2020 18:00,1403.8149
23-01-2020 19:00,1449.326
23-01-2020 20:00,1418.5871
23-01-2020 21:00,1385.6639
23-01-2020 22:00,1324.9359
23-01-2020 23:00,1209.7276
24-01-2020 00:00,1214.2324
24-01-2020 01:00,1168.0884
24-01-2020 02:00,1140.4629
24-01-2020 03:00,1116.1608
24-01-2020 04:00,1118.0905
24-01-2020 05:00,1131.0183
24-01-2020 06:00,1175.1032
24-01-2020 07:00,1254.8856
24-01-2020 08:00,1426.4404
24-01-2020 09:00,1513.0098
24-01-2020 10:00,1562.0065
24-01-2020 11:00,1590.7716
24-01-2020 12:00,1537.6632
24-01-2020 13:00,1558.1645
24-01-2020 14:00,1637.5444
24-01-2020 15:00,1590.6176
24-01-2020 16:00,1537.4949
24-01-2020 17:00,1380.0435
24-01-2020 18:00,1388.2939
24-01-2020 19:00,1439.6137
24-01-2020 20:00,1412.0754
24-01-2020 21:00,1397.7116
24-01-2020 22:00,1364.8882
24-01-2020 23:00,1295.0113
25-01-2020 00:00,1241.312
25-01-2020 01:00,1148.137
25-01-2020 02:00,1117.6677
25-01-2020 03:00,1094.3425
25-01-2020 04:00,1082.9623
25-01-2020 05:00,1065.2672
25-01-2020 06:00,1083.821
25-01-2020 07:00,1183.7157
25-01-2020 08:00,1290.2451
25-01-2020 09:00,1368.1164
25-01-2020 10:00,1465.9394
25-01-2020 11:00,1483.126
25-01-2020 12:00,1394.2637
25-01-2020 13:00,1346.1755
25-01-2020 14:00,1304.6959
